GeneID,TranscriptID,Reference,Method of Identification,Cell Type,len(3utr),dEJ,#(uORF),Category
TRMU,ENST00000456595,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1048,552,1,siUPF1-Up
TRMU,ENST00000441818,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1129,635,1,siUPF1-Up
TRMU,ENST00000453630,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1135,639,1,siUPF1-Up
TRMU,ENST00000381021,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1190,694,1,siUPF1-Up
TRMU,ENST00000381019,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,230,_,5,siUPF1-Up
TSC22D3,ENST00000315660,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1298,_,0,siUPF1-Up
TSC22D3,ENST00000506081,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,149,_,0,siUPF1-Up
TSC22D3,ENST00000372397,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1298,_,0,siUPF1-Up
TSC22D3,ENST00000372382,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,519,_,1,siUPF1-Up
TSC22D3,ENST00000372383,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1295,_,0,siUPF1-Up
TSC22D3,ENST00000514426,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,32,_,0,siUPF1-Up
TSC22D3,ENST00000372384,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1295,_,0,siUPF1-Up
TSC22D3,ENST00000372390,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1298,_,0,siUPF1-Up
TXNL4B,ENST00000268483,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1784,_,0,siUPF1-Up
TXNL4B,ENST00000565171,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,287,199,0,siUPF1-Up
TXNL4B,ENST00000426362,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,240,_,0,siUPF1-Up
TXNRD2,ENST00000542719,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,276,71,5,siUPF1-Up
TXNRD2,ENST00000334363,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,875,_,0,siUPF1-Up
TXNRD2,ENST00000400518,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,356,65,5,siUPF1-Up
TXNRD2,ENST00000400521,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,351,65,1,siUPF1-Up
TYW5,ENST00000354611,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3092,_,1,siUPF1-Up
TYW5,ENST00000441832,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1643,218,0,siUPF1-Up
TYW5,ENST00000483328,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,3655,306,1,siUPF1-Up
U2AF1L4,ENST00000378975,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,187,_,0,siUPF1-Up
U2AF1L4,ENST00000587987,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,893,620,0,siUPF1-Up
U2AF1L4,ENST00000601236,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,229,173,0,siUPF1-Up
U2AF1L4,ENST00000412391,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,187,_,0,siUPF1-Up
U2AF1L4,ENST00000292879,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,66,_,0,siUPF1-Up
U2AF1L4,ENST00000587886,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,175,100,0,siUPF1-Up
UPF3B,ENST00000345865,Huang et al. 2011; Schmidt et al. 2015,siUPF1 RNA half-life; SMG6 endonuclease substrates,human HeLa; human HeLa,852,_,0,siUPF1-Up
UPP1,ENST00000395564,Mendell et al. 2014,siUPF1 RNA half-life,human HeLa,62,_,0,siUPF1-Up
UPP1,ENST00000457596,Mendell et al. 2014,siUPF1 RNA half-life,human HeLa,375,290,0,siUPF1-Up
UPP1,ENST00000417464,Mendell et al. 2014,siUPF1 RNA half-life,human HeLa,492,290,0,siUPF1-Up
UPP1,ENST00000331803,Mendell et al. 2014,siUPF1 RNA half-life,human HeLa,376,_,0,siUPF1-Up
UPP1,ENST00000444999,Mendell et al. 2014,siUPF1 RNA half-life,human HeLa,276,66,0,siUPF1-Up
USP53,ENST00000274030,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1535,_,3,siUPF1-Up
USP53,ENST00000450251,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2306,_,3,siUPF1-Up
USP53,ENST00000509769,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3699,1398,0,siUPF1-Up
VAPB,ENST00000475243,Lykke-Andersen et al. 2014; Hurt et al. 2013,"SMG6 endonuclease substrates; siUPF1, CHX, UPF1 CLIP",human HEK-293; mouse ES,6866,_,0,siUPF1-Up
VAPB,ENST00000520497,Lykke-Andersen et al. 2014; Hurt et al. 2013,"SMG6 endonuclease substrates; siUPF1, CHX, UPF1 CLIP",human HEK-293; mouse ES,627,172,0,siUPF1-Up
VAPB,ENST00000395802,Lykke-Andersen et al. 2014; Hurt et al. 2013,"SMG6 endonuclease substrates; siUPF1, CHX, UPF1 CLIP",human HEK-293; mouse ES,1387,_,0,siUPF1-Up
VEGFA,ENST00000372077,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1925,_,0,siUPF1-Up
VEGFA,ENST00000523950,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,340,_,0,siUPF1-Up
VEGFA,ENST00000523873,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,47,_,0,siUPF1-Up
WHAMM,ENST00000286760,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1323,_,1,siUPF1-Up
ZFAND2A,ENST00000316495,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,162,_,1,siUPF1-Up
ZFP41,ENST00000520584,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1604,900,3,siUPF1-Up
ZNF391,ENST00000244576,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2457,_,2,siUPF1-Up
ZNF473,ENST00000391821,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1713,_,1,siUPF1-Up
ZNF473,ENST00000445728,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,108,_,3,siUPF1-Up
ZNF473,ENST00000595661,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1717,_,3,siUPF1-Up
ZNF473,ENST00000601364,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,217,_,0,siUPF1-Up
ZNF550,ENST00000447310,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2855,1451,1,siUPF1-Up
ZNF550,ENST00000601415,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,7,_,1,siUPF1-Up
ZNF550,ENST00000506609,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,212,_,1,siUPF1-Up
ZNF550,ENST00000457177,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1922,518,1,siUPF1-Up
ZNF550,ENST00000376230,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2269,865,1,siUPF1-Up
ZNF577,ENST00000412216,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,180,_,6,siUPF1-Up
ZNF577,ENST00000420592,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,533,_,6,siUPF1-Up
ZNF577,ENST00000451628,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,75,_,4,siUPF1-Up
ZNF674,ENST00000523374,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,2116,_,0,siUPF1-Up
ZNF674,ENST00000414387,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,406,_,0,siUPF1-Up
ARC,ENST00000356613,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1556,742,3,siUPF1-Stab
ARID5A,ENST00000454558,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,321,_,3,siUPF1-Stab
ARID5A,ENST00000412735,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1786,254,0,siUPF1-Stab
ASB6,ENST00000450050,Hurt et al. 2013; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human U2OS,122,_,3,siUPF1-Stab
ASB6,ENST00000277458,Hurt et al. 2013; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human U2OS,898,_,0,siUPF1-Stab
ASB6,ENST00000277459,Hurt et al. 2013; Wang et al. 2011,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human U2OS,1461,_,0,siUPF1-Stab
ATXN7L2,ENST00000369870,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,134,_,0,siUPF1-Stab
AXIN1,ENST00000262320,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,682,_,1,siUPF1-Stab
BANP,ENST00000393207,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,657,_,3,siUPF1-Stab
BANP,ENST00000393208,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,657,_,1,siUPF1-Stab
BANP,ENST00000485772,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,382,261,1,siUPF1-Stab
BANP,ENST00000459966,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,355,261,1,siUPF1-Stab
BANP,ENST00000538234,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,654,_,2,siUPF1-Stab
BANP,ENST00000466197,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,154,57,1,siUPF1-Stab
BANP,ENST00000355022,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,657,_,1,siUPF1-Stab
BANP,ENST00000355163,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,654,_,1,siUPF1-Stab
BANP,ENST00000286122,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,654,_,1,siUPF1-Stab
C11orf68,ENST00000449692,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,649,_,0,siUPF1-Stab
C11orf68,ENST00000530188,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,626,_,3,siUPF1-Stab
C11orf68,ENST00000438576,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,651,_,0,siUPF1-Stab
C15orf39,ENST00000394987,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1053,_,1,siUPF1-Stab
C17orf53,ENST00000319977,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,544,_,0,siUPF1-Stab
C17orf53,ENST00000585683,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,353,_,0,siUPF1-Stab
C19orf52,ENST00000270502,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,552,_,0,siUPF1-Stab
C6orf47,ENST00000366431,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,766,_,2,siUPF1-Stab
C6orf47,ENST00000418357,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,765,_,2,siUPF1-Stab
C6orf47,ENST00000375911,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,765,_,2,siUPF1-Stab
CBX4,ENST00000269397,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,803,_,0,siUPF1-Stab
CCDC12,ENST00000425441,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,331,_,0,siUPF1-Stab
CCDC12,ENST00000292314,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,326,_,0,siUPF1-Stab
CCDC88C,ENST00000553403,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1206,_,0,siUPF1-Stab
CCDC88C,ENST00000389856,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1224,_,2,siUPF1-Stab
CCDC88C,ENST00000389857,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1300,_,0,siUPF1-Stab
CDC42EP4,ENST00000581014,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,280,_,0,siUPF1-Stab
CDC42EP4,ENST00000439510,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,1805,_,0,siUPF1-Stab
CDC42EP4,ENST00000335793,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,1806,_,0,siUPF1-Stab
CDT1,ENST00000301019,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,980,_,5,siUPF1-Stab
CEBPD,ENST00000408965,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,402,_,0,siUPF1-Stab
CENPBD1,ENST00000314994,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1561,_,2,siUPF1-Stab
CHIC2,ENST00000263921,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,306,_,1,siUPF1-Stab
CHST3,ENST00000373115,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,5093,_,0,siUPF1-Stab
CLK1,ENST00000409769,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,208,_,5,siUPF1-Stab
CLK1,ENST00000432425,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,1178,809,0,siUPF1-Stab
CLK1,ENST00000321356,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,297,_,0,siUPF1-Stab
CSF1,ENST00000329608,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,2154,_,2,siUPF1-Stab
CSF1,ENST00000369802,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,694,_,2,siUPF1-Stab
CSF1,ENST00000420111,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,196,_,2,siUPF1-Stab
CSF1,ENST00000369801,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,9,_,2,siUPF1-Stab
CSRNP1,ENST00000273153,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1200,_,0,siUPF1-Stab
CSRNP1,ENST00000514182,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,717,_,0,siUPF1-Stab
DDIT3,ENST00000547303,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Tani et al. 2012,"siUPF1, CHX, UPF1-CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life",mouse ES; human HEK-293; human HeLa; human HeLa,221,_,1,siUPF1-Stab
DDIT3,ENST00000346473,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015; Tani et al. 2012,"siUPF1, CHX, UPF1-CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates; siUPF1 RNA half-life",mouse ES; human HEK-293; human HeLa; human HeLa,216,_,1,siUPF1-Stab
DGCR14,ENST00000252137,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3917,_,0,siUPF1-Stab
DGCR8,ENST00000383024,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,1767,_,1,siUPF1-Stab
DUSP2,ENST00000288943,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,657,_,0,siUPF1-Stab
ENC1,ENST00000537006,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,96,_,0,siUPF1-Stab
ENC1,ENST00000510316,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,2616,_,1,siUPF1-Stab
FAM117A,ENST00000240364,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,923,_,0,siUPF1-Stab
FAM193A,ENST00000382839,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,684,_,1,siUPF1-Stab
FAM193A,ENST00000512465,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1933,1155,1,siUPF1-Stab
FAM193A,ENST00000513898,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1466,1351,0,siUPF1-Stab
FAM193A,ENST00000502458,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,21,_,0,siUPF1-Stab
FAM53B,ENST00000337318,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,3950,_,1,siUPF1-Stab
FAM53B,ENST00000392754,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1571,_,5,siUPF1-Stab
FAM53B,ENST00000280780,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,219,_,1,siUPF1-Stab
GADD45A,ENST00000370986,Hurt et al. 2013; Lykke-Andersen et al. 2014; Schmidt et al. 2015,"siUPF1, CHX, UPF1-CLIP; SMG6 endonuclease substrates; SMG6 endonuclease substrates ",mouse ES; human HEK-293; human HeLa,564,_,1,siUPF1-Stab
GCC1,ENST00000321407,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1396,_,0,siUPF1-Stab
GLI2,ENST00000341310,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,4514,1341,1,siUPF1-Stab
GLI2,ENST00000361492,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1977,_,0,siUPF1-Stab
GLI2,ENST00000437950,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1670,1392,0,siUPF1-Stab
GLI2,ENST00000438299,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,3334,2543,1,siUPF1-Stab
GLI2,ENST00000452692,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,3283,2492,1,siUPF1-Stab
GMEB2,ENST00000266068,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,2487,_,2,siUPF1-Stab
GMEB2,ENST00000370077,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,2487,_,0,siUPF1-Stab
HAUS8,ENST00000593360,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,107,_,8,siUPF1-Stab
HAUS8,ENST00000601564,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,528,429,0,siUPF1-Stab
HAUS8,ENST00000448593,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,112,_,2,siUPF1-Stab
HERPUD2,ENST00000311350,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,621,_,1,siUPF1-Stab
HEXIM2,ENST00000592695,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,226,_,0,siUPF1-Stab
HJURP,ENST00000432087,Lykke-Andersen et al. 2014; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,734,_,1,siUPF1-Stab
HJURP,ENST00000441687,Lykke-Andersen et al. 2014; Tani et al. 2012,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human HeLa,734,_,1,siUPF1-Stab
IGHMBP2,ENST00000255078,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,868,_,0,siUPF1-Stab
IGHMBP2,ENST00000544541,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,327,287,0,siUPF1-Stab
IGHMBP2,ENST00000545146,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,174,126,0,siUPF1-Stab
IP6K2,ENST00000413298,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,196,_,0,siUPF1-Stab
IP6K2,ENST00000443964,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,275,_,3,siUPF1-Stab
IP6K2,ENST00000453202,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,27,_,0,siUPF1-Stab
IP6K2,ENST00000433104,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,990,205,4,siUPF1-Stab
IP6K2,ENST00000328631,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,270,_,0,siUPF1-Stab
IP6K2,ENST00000417896,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,554,_,0,siUPF1-Stab
IP6K2,ENST00000340879,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,701,_,0,siUPF1-Stab
IP6K2,ENST00000432678,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,793,_,0,siUPF1-Stab
IP6K2,ENST00000450045,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,165,_,2,siUPF1-Stab
IP6K2,ENST00000416707,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,873,120,0,siUPF1-Stab
IP6K2,ENST00000412795,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,178,112,3,siUPF1-Stab
IP6K2,ENST00000431721,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1378,_,3,siUPF1-Stab
IP6K2,ENST00000449610,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,1114,_,0,siUPF1-Stab
IP6K2,ENST00000446860,Schmidt et al. 2015,SMG6 endonuclease substrates ,human HeLa,848,_,3,siUPF1-Stab
JAG1,ENST00000423891,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,235,_,1,siUPF1-Stab
JMJD6,ENST00000303996,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,576,161,1,siUPF1-Stab
JMJD6,ENST00000542934,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,503,88,1,siUPF1-Stab
JMJD6,ENST00000397625,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,276,_,0,siUPF1-Stab
KANSL2,ENST00000420613,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,628,_,0,siUPF1-Stab
KANSL2,ENST00000553086,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,155,_,0,siUPF1-Stab
KANSL2,ENST00000550347,Lykke-Andersen et al. 2014 ,SMG6 endonuclease substrates,human HEK-293,642,_,0,siUPF1-Stab
KCTD2,ENST00000581589,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,216,_,3,siUPF1-Stab
KCTD2,ENST00000375286,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,3290,418,1,siUPF1-Stab
LDLR,ENST00000545707,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,294,_,0,siUPF1-Stab
LDLR,ENST00000558013,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,496,_,0,siUPF1-Stab
LDLR,ENST00000557933,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,7,_,0,siUPF1-Stab
LDLR,ENST00000455727,Hurt et al. 2013,"siUPF1, CHX, UPF1-CLIP",mouse ES,168,_,0,siUPF1-Stab
MAD1L1,ENST00000399654,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,276,_,1,siUPF1-Stab
MAD1L1,ENST00000402746,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,276,_,3,siUPF1-Stab
MAD1L1,ENST00000265854,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,259,_,1,siUPF1-Stab
MAFF,ENST00000407965,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1627,_,1,siUPF1-Stab
MAFF,ENST00000538999,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1625,_,0,siUPF1-Stab
MAFF,ENST00000538320,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1625,_,0,siUPF1-Stab
MAPK7,ENST00000395602,Hurt et al. 2013; Tani et al. 2012,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human HeLa,313,_,0,siUPF1-Stab
MAPK7,ENST00000299612,Hurt et al. 2013; Tani et al. 2012,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human HeLa,313,_,2,siUPF1-Stab
MAPK7,ENST00000395604,Hurt et al. 2013; Tani et al. 2012,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human HeLa,313,_,0,siUPF1-Stab
MAPK7,ENST00000581260,Hurt et al. 2013; Tani et al. 2012,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human HeLa,421,168,0,siUPF1-Stab
MAPK7,ENST00000308406,Hurt et al. 2013; Tani et al. 2012,"siUPF1, CHX, UPF1-CLIP; siUPF1 RNA half-life",mouse ES; human HeLa,312,_,4,siUPF1-Stab
MCAT,ENST00000327555,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,575,_,0,siUPF1-Stab
MCAT,ENST00000290429,Lykke-Andersen et al. 2014; Wang et al. 2011,SMG6 endonuclease substrates; siUPF1 RNA half-life,human HEK-293; human U2OS,837,_,0,siUPF1-Stab
MICAL3,ENST00000585038,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,39,_,0,siUPF1-Stab
MICAL3,ENST00000441493,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,3083,_,0,siUPF1-Stab
MICAL3,ENST00000400561,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,122,_,0,siUPF1-Stab
MICAL3,ENST00000383094,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,101,_,0,siUPF1-Stab
MICAL3,ENST00000495076,Tani et al. 2012; Wang et al. 2011,siUPF1 RNA half-life; siUPF1 RNA half-life,human HeLa; human U2OS,3922,1496,0,siUPF1-Stab
MKL1,ENST00000355630,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1109,_,2,siUPF1-Stab
MKL1,ENST00000396617,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1517,_,2,siUPF1-Stab
MKL1,ENST00000402630,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,70,_,1,siUPF1-Stab
MKL1,ENST00000402042,Tani et al. 2012,siUPF1 RNA half-life,human HeLa,1100,_,2,siUPF1-Stab
MTHFSD,ENST00000568798,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,188,84,0,siUPF1-Stab
MTHFSD,ENST00000543303,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,39,_,0,siUPF1-Stab
MTHFSD,ENST00000546093,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1178,_,3,siUPF1-Stab
MTHFSD,ENST00000566050,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,996,486,0,siUPF1-Stab
MTHFSD,ENST00000567539,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,334,188,0,siUPF1-Stab
MUL1,ENST00000264198,Wang et al. 2011,siUPF1 RNA half-life,human U2OS,1240,_,0,siUPF1-Stab
